Grape,Climate,Acidity,Tannins,Sweetness,Body,Flavour,Oak,Characteristics,Aged Characteristics
Grenache / Garnacha,Warm,Low,"Low, Medium",,,"• Red fruit: strawberry, red plum, red cherry
• Spice: white pepper, liquorice",Oaked or unoaked,"• Thin skin
• High sugar levels
• Often blended
• Red or rosé wine","• Earth
• Meat
• Dried fruit
• Caramel"
Tempranillo,"Moderate, Warm",Medium,Medium,,"Medium, Full","• Red fruit: strawberry, raspberry, red cherry
• Black fruit: blackberry, black plum",Oaked or unoaked,"• Simple or complex
• Blended or single varietal","• Dried fruit
• Leather
• Mushroom"
Carmenère,Warm,"Medium, High",High,,Full,"• Herbaceous: green ball pepper
• Herbal: eucalyptus
• Black fruit: blackberry",Often oaked,• Blended or single varietal,"• Leather
• Earth"
Malbec,Warm,,High,,Full,"• Black fruit: blackberry, black plum",Often oaked,• Blended or single varietal,"• Dried fruit
• Meat"
Pinotage,Warm,High,Medium,,"Medium, Full","• Red fruit: strawberry, raspberry, red cherry",Often oaked,"• Blended or single varietal
• Takes on strong flavours from oak: coffee, chocolate, smoke",• Can age
Cortese,,High,,Dry,Light,"• Floral: blossom
• Green fruit: apple, pear
• Citrus fruit: lemon",Unoaked,• ,• For early drinking
Garganega,,High,,"Dry, Sweet",Medium,"• Green fruit: apple, pear
• Citrus fruit: lemon
• Stone fruit: peach",Unoaked,• ,"• Honey
• Almond"
Verdicchio,,High,,Dry,Medium,"• Green fruit: apple, pear
• Citrus fruit: lemon
• Herbal: fennel",Unoaked,• ,"• Honey
• Nuts"
Fiano,,Medium,,Dry,"Medium, Full","• Stone fruit: peach
• Tropical fruit: melon, mango",Oaked or unoaked,• Can be aged on lees,"• Honey
• Nuts"
Nebbiolo,,High,High,,Full,"• Red fruit: red cherry, red plum
• Floral: rose, violet
• Herbal: dried herbs",Oak maturation is common,• Typically single varietal,"• Mushroom
• Tobacco
• Leather"
Barbera,,High,"Low, Medium",,"Light, Medium, Full","• Red fruit: red cherry, red plum
• Spice: black pepper",Oaked or unoaked,"• Typically single varietal
• Simple or complex","• Can be for early drinking
• Can age"
Corvina,,High,"Low, Medium",,"Light, Medium, Full","• Red fruit: red cherry, red plum",Basic: usually oaked,"• Often blended (local varieties)
• Appassimento method sometimes used","• Can be for early drinking
• Can age"
Sangiovese,,High,High,,"Medium, Full","• Red fruit: red cherry, red plum
• Herbal: dried herbs",Often oaked,• Often blended (local and international varieties),"• Can be for early drinking
• Can age"
Montepulciano,,Medium,High,,,"• Black fruit: black plum, black cherry",Oaked or unoaked,• ,• For early drinking
